# CSV-File created with merge-csv.com
# -----------------------------------------------------------

frame,trackID,range,x,y,z,vx,vy,vz,speed,ax,ay,az,peakVal,peak_mean,peak_std,speed_mean,speed_std,energy_xyz,track_duration,dopplerIdx,label
1916,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1916,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1917,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1917,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1918,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1918,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1919,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1919,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1920,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1920,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1921,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1921,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1922,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1922,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1923,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1923,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1924,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1924,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1925,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1925,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1926,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1926,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1927,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1927,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1928,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1928,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1929,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1929,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1930,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1930,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1931,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1931,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1932,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1932,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1933,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1933,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1934,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1934,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
1935,7,1.677378500164021,-0.2109375,1.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.0,0.0,0.0,0.0,1,-3,ball1
1935,8,1.6758176715156283,1.046875,1.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1,-3,ball1
2043,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,325,0.0,0.0,0.0,0.0,1,0,ball2
2044,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,328,3.0,0.0,0.0,0.0,2,0,ball2
2045,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,329.6666666666667,3.39934634239519,0.0,0.0,0.0,3,0,ball2
2046,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,330.25,3.112474899497183,0.0,0.0,0.0,4,0,ball2
2047,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,330.2,2.7856776554368237,0.0,0.0,0.0,5,0,ball2
2048,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,330.6666666666667,2.748737083745107,0.0,0.0,0.0,6,0,ball2
2049,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,330.7142857142857,2.5475077857324298,0.0,0.0,0.0,7,0,ball2
2050,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,330.5,2.449489742783178,0.0,0.0,0.0,8,0,ball2
2051,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,330.44444444444446,2.3147407395555177,0.0,0.0,0.0,9,0,ball2
2052,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,330.4,2.2,0.0,0.0,0.0,10,0,ball2
2053,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,330.45454545454544,2.1046976186891317,0.0,0.0,0.0,11,0,ball2
2054,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,330.5,2.0207259421636903,0.0,0.0,0.0,12,0,ball2
2055,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,330.38461538461536,1.9821690348807885,0.0,0.0,0.0,13,0,ball2
2056,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327,330.14285714285717,2.0995626366712954,0.0,0.0,0.0,14,0,ball2
2057,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,329.8666666666667,2.276449477195183,0.0,0.0,0.0,15,0,ball2
2058,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,330.4375,3.121873435935544,0.0,0.0,0.0,16,0,ball2
2058,7,1.5866156570398713,-0.296875,1.55859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,265,0.0,0.0,0.0,0.0,1,4,ball2
2059,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,330.52941176470586,3.050894701150574,0.0,0.0,0.0,17,0,ball2
2059,7,1.5866156570398713,-0.296875,1.55859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,265,0.0,0.0,0.0,0.0,1,4,ball2
2059,8,1.6774012420282192,-0.3671875,1.63671875,0.0,0.0,0.0,0.0,0.0,-0.07421875,0.0703125,0.0,220,152.6,69.17976582787773,0.0663927116583949,0.05697206712411999,0.0035693359375,5,18,ball2
2060,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,330.55555555555554,2.966895538404153,0.0,0.0,0.0,18,0,ball2
2060,7,1.5866156570398713,-0.296875,1.55859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,265,0.0,0.0,0.0,0.0,1,4,ball2
2061,2,1.411583851468471,-0.21875,1.39453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,330.57894736842104,2.8894688908022745,0.0,0.0,0.0,19,0,ball2
