frame_number,timestamp,point_id,x,y,z,range,velocity,doppler_idx,snr,noise,azimuth,elevation,range_idx,peak_value,rcs
0,9.885692665,0,-0.08303961951643639,13.639747227188286,0.0,13.639999999999999,6.11,47,7.720000000000002,10.0,-0.34881591796875,0.0,310,37.72,-6.760530691058733
0,9.885692665,1,0.0,1.98,0.0,1.98,4.260000000000005,802,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
0,9.885692665,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
0,9.885692665,3,0.012478161194502117,7.655989831203618,0.0,7.656,0.9200000000000159,1084,19.688000000000002,10.0,0.0933837890625,0.0,174,49.688,-4.726487983733286
0,9.885692665,4,0.0,0.044,0.0,0.044,8.950000000000003,915,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
0,9.885692665,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
1,10.135704065,0,-0.08303961951643639,13.639747227188286,0.0,13.639999999999999,6.11,47,7.720000000000002,10.0,-0.34881591796875,0.0,310,37.72,-6.760530691058733
1,10.135704065,1,0.0,1.98,0.0,1.98,4.52000000000001,804,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
1,10.135704065,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
1,10.135704065,3,0.012478161194502117,7.655989831203618,0.0,7.656,0.9200000000000159,1084,19.688000000000002,10.0,0.0933837890625,0.0,174,49.688,-4.726487983733286
1,10.135704065,4,0.0,0.044,0.0,0.044,9.079999999999998,916,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
1,10.135704065,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
2,10.38569267,0,-0.0822360102953096,13.507749673376786,0.0,13.508,6.11,47,7.984000000000002,10.0,-0.34881591796875,0.0,307,37.984,-6.664227975819493
2,10.38569267,1,0.0,1.98,0.0,1.98,5.170000000000002,809,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
2,10.38569267,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
2,10.38569267,3,0.012047879774002044,7.391990181851768,0.0,7.3919999999999995,0.9200000000000159,1084,20.216,10.0,0.0933837890625,0.0,168,50.216,-4.800089251872009
2,10.38569267,4,0.0,0.044,0.0,0.044,8.950000000000003,915,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
2,10.38569267,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
3,10.63569252,0,-0.0822360102953096,13.507749673376786,0.0,13.508,6.11,47,7.984000000000002,10.0,-0.34881591796875,0.0,307,37.984,-6.664227975819493
3,10.63569252,1,0.0,1.98,0.0,1.98,5.299999999999997,810,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
3,10.63569252,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
3,10.63569252,3,0.012478161194502117,7.655989831203618,0.0,7.656,0.9200000000000159,1084,19.688000000000002,10.0,0.0933837890625,0.0,174,49.688,-4.726487983733286
3,10.63569252,4,0.0,0.044,0.0,0.044,8.689999999999998,913,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
3,10.63569252,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
4,10.885697475,0,-0.0827717497760608,13.595748042584454,0.0,13.596,6.11,47,7.808,10.0,-0.34881591796875,0.0,309,37.808,-6.7282501066768745
4,10.885697475,1,0.0,1.98,0.0,1.98,4.780000000000001,806,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
4,10.885697475,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
4,10.885697475,3,0.012191306914168734,7.479990064969051,0.0,7.4799999999999995,0.9200000000000159,1084,20.04,10.0,0.0933837890625,0.0,170,50.04,-4.773231774717857
4,10.885697475,4,0.0,0.044,0.0,0.044,9.210000000000008,917,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
4,10.885697475,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
5,11.13569699,0,-0.0827717497760608,13.595748042584454,0.0,13.596,6.11,47,7.808,10.0,-0.34881591796875,0.0,309,37.808,-6.7282501066768745
5,11.13569699,1,0.0,1.98,0.0,1.98,5.040000000000006,808,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
5,11.13569699,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
5,11.13569699,3,0.01211959334408539,7.43599012341041,0.0,7.436,0.9200000000000159,1084,20.128,10.0,0.0933837890625,0.0,169,50.128,-4.786364408607163
5,11.13569699,4,0.0,0.044,0.0,0.044,8.820000000000007,914,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
5,11.13569699,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
6,11.38570417,0,-0.08250388003568519,13.55174885798062,0.0,13.552,6.11,47,7.896000000000001,10.0,-0.34881591796875,0.0,308,37.896,-6.6961488157359454
6,11.38570417,1,0.0,1.98,0.0,1.98,4.390000000000001,803,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
6,11.38570417,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
6,11.38570417,3,0.012191306914168734,7.479990064969051,0.0,7.4799999999999995,0.9200000000000159,1084,20.04,10.0,0.0933837890625,0.0,170,50.04,-4.773231774717857
6,11.38570417,4,0.0,0.044,0.0,0.044,8.560000000000002,912,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
6,11.38570417,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
7,11.63569267,0,-0.0822360102953096,13.507749673376786,0.0,13.508,6.11,47,7.984000000000002,10.0,-0.34881591796875,0.0,307,37.984,-6.664227975819493
7,11.63569267,1,0.0,1.98,0.0,1.98,4.780000000000001,806,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
7,11.63569267,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
7,11.63569267,3,0.012478161194502117,7.655989831203618,0.0,7.656,0.9200000000000159,1084,19.688000000000002,10.0,0.0933837890625,0.0,174,49.688,-4.726487983733286
7,11.63569267,4,0.0,0.044,0.0,0.044,8.560000000000002,912,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
7,11.63569267,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
8,11.88569681,0,-0.0822360102953096,13.507749673376786,0.0,13.508,6.11,47,7.984000000000002,10.0,-0.34881591796875,0.0,307,37.984,-6.664227975819493
8,11.88569681,1,0.0,1.98,0.0,1.98,4.780000000000001,806,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
8,11.88569681,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,48,5.0,10.0,0.0,0.0,1004,35.0,10.846735150963283
8,11.88569681,3,0.01290844261500219,7.919989480555467,0.0,7.92,0.9200000000000159,1084,19.16,10.0,0.0933837890625,0.0,180,49.16,-4.673025268633452
8,11.88569681,4,0.0,0.044,0.0,0.044,9.079999999999998,916,34.912,10.0,0.0,0.0,1,64.912,-58.753500316190014
8,11.88569681,5,0.0,0.264,0.0,0.264,6.24,48,34.472,10.0,0.0,0.0,6,64.47200000000001,-43.08394465403776
9,12.135692955,0,-0.0827717497760608,13.595748042584454,0.0,13.596,6.11,47,7.808,10.0,-0.34881591796875,0.0,309,37.808,-6.7282501066768745
9,12.135692955,1,0.0,1.98,0.0,1.98,4.909999999999997,807,31.04,10.0,0.0,0.0,45,61.04,-16.237466601489537
